
§¿ö¿date;meanTa;precip;glob
2018.05.01;19.6;0;274.9
2018.05.02;21.57;0;283.35
2018.05.03;20.1;0;300.85
2018.05.04;21.55;0;211.35
2018.05.05;22.7;0;275.5
2018.05.06;21.09;0;292.74
2018.05.07;18.95;0;314.87
2018.05.08;17.64;0;260.21
2018.05.09;19.3;0;257.75
2018.05.10;17.67;32.2;230.38
2018.05.11;18.68;0;262.86
2018.05.12;20.16;0;282.65
2018.05.13;18.31;0;278.95
2018.05.14;16.49;0;209.39
2018.05.15;15.98;8.5;220.03
2018.05.16;15.02;0;260.06
2018.05.17;15.21;0.3;247.32
2018.05.18;17.29;0;288.72
2018.05.19;16.19;0.1;225.86
2018.05.20;17.93;0;304.11
2018.05.21;18.44;0;286.19
2018.05.22;19.51;0;246.56
2018.05.23;20.86;2.6;241.85
2018.05.24;21.6;0.1;304.41
2018.05.25;19.63;1.2;192.75
2018.05.26;20.21;0;288.63
2018.05.27;21.73;0;272.98
2018.05.28;22.43;0;311.1
2018.05.29;21.77;0;318.71
2018.05.30;21.53;0;271.66
2018.05.31;22.62;0;299.03
2018.06.01;23.96;0;258.17
2018.06.02;20.79;1.7;191.45
2018.06.03;22.19;0;319.15
2018.06.04;22.35;0;296.08
2018.06.05;21.23;11.2;223.84
2018.06.06;21.07;2.8;249.99
2018.06.07;20.7;0.4;285.5
2018.06.08;23.83;6.3;286.05
2018.06.09;20;44.2;118.44
2018.06.10;21.99;0;224.66
2018.06.11;23.46;0;279.33
2018.06.12;24.93;9;313.03
2018.06.13;19.89;7.2;174.31
2018.06.14;18.27;0;67.73
2018.06.15;19.96;0;116.16
2018.06.16;21.83;0.1;270.89
2018.06.17;23.78;0;283.28
2018.06.18;21.82;0;238.2
2018.06.19;23.07;6;264.95
2018.06.20;24.4;0;286.77
2018.06.21;25.47;0;272.78
2018.06.22;15.83;4;72.17
2018.06.23;14.67;0;291.07
2018.06.24;16.01;0;278.06
2018.06.25;16.83;0;305.7
2018.06.26;18.51;0;299.41
2018.06.27;16.57;1.8;136.71
2018.06.28;20.13;2.3;193.15
2018.06.29;22.1;0.7;211.74
2018.06.30;21;0;336.6
2018.07.01;16.13;0;282.49
2018.07.02;17.18;0;341.58
2018.07.03;19.68;0;348.19
2018.07.04;22.04;0;264.9
2018.07.05;23.19;0;330.52
2018.07.06;21.93;0;172.92
2018.07.07;21.15;0.3;176.23
2018.07.08;20.06;6.2;191.97
2018.07.09;19.67;0.4;166.39
2018.07.10;21.51;0;242.36
2018.07.11;21.32;0.1;196.64
2018.07.12;20.55;0;301.94
2018.07.13;21.94;0;301.32
2018.07.14;22.98;0;333.09
2018.07.15;23.24;0;314.96
2018.07.16;23.36;0;318.31
2018.07.17;22.96;3;277.61
2018.07.18;21.67;3.4;149.84
2018.07.19;21.9;0.8;179.56
2018.07.20;22.81;0;300.28
2018.07.21;23.69;12.3;274.47
2018.07.22;22.15;1.8;204.93
2018.07.23;20.25;3.1;150.09
2018.07.24;23.57;0;220.58
2018.07.25;24.44;0;290.49
2018.07.26;24.33;0;268.52
2018.07.27;24.04;18.4;251.37
2018.07.28;23.28;0.2;222.15
2018.07.29;26.29;0;282.34
2018.07.30;25.67;0;290.07
2018.07.31;25.48;0;285.61
2018.08.01;25.49;0;262.87
2018.08.02;23.94;5.5;177.96
2018.08.03;24.49;0;262.32
2018.08.04;23.66;0;293.11
2018.08.05;25.2;0;280.19
2018.08.06;24.27;0;282.34
2018.08.07;23.99;0;295.69
2018.08.08;25.34;0;274.82
2018.08.09;26.93;0;281.35
2018.08.10;27.21;0;284.65
2018.08.11;23.37;0;199.12
2018.08.12;23.1;0;289.26
2018.08.13;24.72;0;256.72
2018.08.14;23.12;6.5;217.64
2018.08.15;22.18;0;234.57
2018.08.16;22.2;0;248.4
2018.08.17;22.9;0;212.69
2018.08.18;23.87;0;220.95
2018.08.19;24.6;0;248.35
2018.08.20;24.26;0.1;226.04
2018.08.21;24.44;0;232.63
2018.08.22;24.98;0;249.86
2018.08.23;23.54;4.5;177.27
2018.08.24;23.95;0.1;244.66
2018.08.25;22.23;0;235.75
2018.08.26;15.47;27.5;48.42
2018.08.27;17.66;0;166.77
2018.08.28;18.37;0;253.92
2018.08.29;18.69;0;250.38
2018.08.30;20.48;0;239.71
2018.08.31;21.06;0;227.85
2018.09.01;22.78;4.2;203.09
2018.09.02;22.52;3.4;157.47
2018.09.03;20.85;9.7;94.32
2018.09.04;18.89;5.1;147.68
2018.09.05;19.18;0;186.86
2018.09.06;18.82;0;186.57
2018.09.07;18.13;0;201.17
2018.09.08;19.8;0;215.23
2018.09.09;18.11;0;218.3
2018.09.10;17.65;0;221.94
2018.09.11;19.32;0;184.56
2018.09.12;20.26;0;214.58
2018.09.13;19.5;0;185.64
2018.09.14;21.03;0;176.05
2018.09.15;19.84;0;214.93
2018.09.16;16.94;0;180.32
2018.09.17;18.26;0;198.2
2018.09.18;17.25;0;208.75
2018.09.19;18.03;0;179.21
2018.09.20;18.13;0;175.11
2018.09.21;18.7;0;191.76
2018.09.22;14.31;0.1;54.72
2018.09.23;15.96;0.3;114.61
2018.09.24;12.51;10.6;114.08
2018.09.25;9.07;0;192.59
2018.09.26;6.58;0;200.01
2018.09.27;9.26;0;192.56
2018.09.28;11.6;0;186.74
2018.09.29;10.04;0;58.6
2018.09.30;8.56;0;187.74
2018.10.01;11.87;0;71.15
2018.10.02;8.73;0.2;82.02
2018.10.03;11.87;0.1;127.32
2018.10.04;10.05;0;173.19
2018.10.05;9.09;0;168.43
2018.10.06;14.45;0.3;156.47
2018.10.07;16.76;0;142.82
2018.10.08;15.84;0;131.9
2018.10.09;13.84;0;151.08
2018.10.10;13.84;0;143.1
2018.10.11;13.72;0;143.6
2018.10.12;12.47;0;136.15
2018.10.13;12.23;0;136.77
2018.10.14;11.66;0;142.09
2018.10.15;10.84;0;141.9
2018.10.16;12.29;0;122.42
2018.10.17;13.06;0;135.05
2018.10.18;13.59;0;103.64
2018.10.19;12.9;5.9;57.71
2018.10.20;12.8;0;94.73
2018.10.21;9.23;1.1;24.2
2018.10.22;10.36;0;74.54
2018.10.23;11.63;0;118.01
2018.10.24;10.38;0.3;49.5
2018.10.25;9.35;0.4;40.3
2018.10.26;13.61;0;87.39
2018.10.27;16.73;0;52.27
2018.10.28;18.34;5;65.76
2018.10.29;20;5.4;99.11
2018.10.30;16.33;6.2;71
2018.10.31;11.27;0;115.6
2018.11.01;13.84;0;81.32
2018.11.02;15.98;0;54.08
2018.11.03;15.8;0;77.97
2018.11.04;11.98;0;105.31
2018.11.05;10.39;0;85.6
2018.11.06;10.25;0;97.44
2018.11.07;9.74;0;94.62
2018.11.08;8.11;0;92.63
2018.11.09;6.09;0;92.27
2018.11.10;6.06;0;82.6
2018.11.11;10.43;0;90.39
2018.11.12;12.41;0;90.64
2018.11.13;11.26;0;81.18
2018.11.14;9.35;0;91.93
2018.11.15;5.46;0;48.24
2018.11.16;5.6;0;89.76
2018.11.17;2.79;0;76.02
2018.11.18;3.16;0;58.75
